epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,238.51,3.03237,4.15248,17.4814,0.01191,3.2298,0.62522,0.44,0.51064,0.29762,0.52878,0.58387,0.48926,0.25486,3.9354,7.13632,40.5921,0.0473,0,7.492e-05,7.492e-05,7.492e-05
78,241.428,3.01815,4.42275,18.3682,0.01384,3.46438,0.46949,0.60183,0.51555,0.28853,0.49931,0.64,0.51176,0.26476,3.9083,7.0997,40.9129,0.04759,0,7.459e-05,7.459e-05,7.459e-05
79,244.231,3.34311,4.89792,20.614,0.01546,4.55345,0.47738,0.58492,0.51007,0.2876,0.50479,0.5711,0.49924,0.26411,3.91989,7.26032,40.4279,0.0483,0,7.426e-05,7.426e-05,7.426e-05
80,247.114,3.02792,4.34506,19.6843,0.0134,3.92649,0.66177,0.48,0.55527,0.30158,0.56503,0.52,0.46115,0.24816,4.26697,7.72666,37.9361,0.05146,0,7.393e-05,7.393e-05,7.393e-05
81,249.976,3.08054,4.74279,18.5978,0.01521,5.11713,0.53936,0.68,0.55847,0.30331,0.55582,0.52,0.4544,0.25327,4.37741,8.02088,37.09,0.05304,0,7.36e-05,7.36e-05,7.36e-05
82,252.733,3.11316,4.39729,18.7387,0.0164,3.58594,0.53721,0.64,0.58026,0.32878,0.46976,0.56,0.41598,0.22828,4.34668,8.54947,37.3998,0.05307,0,7.327e-05,7.327e-05,7.327e-05
83,255.526,3.29695,4.88964,18.3135,0.01459,4.17593,0.77124,0.53998,0.58827,0.32694,0.53812,0.44,0.38728,0.2257,4.52361,8.75161,35.2335,0.05526,0,7.294e-05,7.294e-05,7.294e-05
84,258.512,3.22061,4.46759,17.7412,0.01388,3.8228,0.65185,0.6,0.58807,0.31577,0.51967,0.48,0.40416,0.2233,4.45117,8.70237,34.4843,0.05451,0,7.261e-05,7.261e-05,7.261e-05
85,261.295,3.22892,4.77544,17.5833,0.01324,3.45581,0.65914,0.61923,0.61906,0.32683,0.5655,0.48,0.41473,0.22957,4.37816,8.72324,33.1097,0.05362,0,7.228e-05,7.228e-05,7.228e-05
86,264.127,2.91298,4.13853,17.9619,0.0131,4.88398,0.63258,0.64,0.61581,0.33296,0.63688,0.44,0.42449,0.22081,4.34785,8.93085,32.5533,0.05273,0,7.195e-05,7.195e-05,7.195e-05
87,266.98,3.19826,4.44549,19.9574,0.0134,5.78072,0.7758,0.55394,0.63965,0.36354,0.63721,0.44,0.42839,0.22695,4.34862,9.07842,31.2803,0.05287,0,7.162e-05,7.162e-05,7.162e-05
88,269.789,2.95525,4.21999,18.5617,0.0135,6.66148,0.72898,0.64576,0.6933,0.38448,0.61672,0.51512,0.4272,0.22537,4.39977,9.49432,29.4779,0.05346,0,7.129e-05,7.129e-05,7.129e-05
89,272.572,3.12812,4.25347,18.068,0.01571,7.58876,0.79923,0.64,0.69989,0.3753,0.6453,0.50979,0.4493,0.23484,4.54019,9.91621,29.0214,0.0552,0,7.096e-05,7.096e-05,7.096e-05
90,275.471,3.0821,4.62544,18.3751,0.01466,4.61104,0.98397,0.56,0.68891,0.34524,0.69902,0.4,0.40984,0.21116,4.70504,11.2457,30.2143,0.05682,0,7.063e-05,7.063e-05,7.063e-05
91,278.246,3.03063,4.61299,19.5226,0.01429,4.02243,1,0.62182,0.71857,0.34977,0.56758,0.48,0.44197,0.23783,5.0444,12.0846,29.7981,0.06204,0,7.03e-05,7.03e-05,7.03e-05
